Index,Bab,Kategori,Kanji,Kana,Romaji,Arti,Kelas Kata,Konjugasi,Transitivitas,Catatan Tambahan
1,1,Pronomina,私,わたし,watashi,Saya (Formal),Kata Ganti,,,
2,1,Pronomina,あなた,あなた,anata,Anda (Formal),Kata Ganti,,,
3,1,Pronomina,あの人,あのひと,ano hito,Orang itu,Kata Ganti,,,
4,1,Pronomina (Hormat),あの方,あのかた,ano kata,Orang itu (Hormat / Sopan) / Beliau,Kata Ganti,,,
5,1,Gelar / Profesi,先生,せんせい,sensei,"(Panggilan) Orang yang dihormati [Guru, Dokter, Ahli, dll.]",Kata Benda,,,Tidak digunakan untuk menyebut profesi diri sendiri
6,1,Profesi,教師,きょうし,kyoushi,"Guru (profesi, untuk diri sendiri)",Kata Benda,,,Digunakan untuk menyebut profesi diri sendiri
7,1,Profesi,学生,がくせい,gakusei,Siswa / Murid (Mahasiswa),Kata Benda,,,Umum
8,1,Profesi,生徒,せいと,seito,"Siswa / Murid (SD, SMP, SMA)",Kata Benda,,,Lebih spesifik
9,1,Pendidikan,小学校,しょうがっこう,shougakkou,SD,Kata Benda,,,Sekolah dasar
10,1,Pendidikan,中学校,ちゅうがっこう,chuugakkou,SMP,Kata Benda,,,Sekolah menengah pertama
11,1,Pendidikan,高等学校,こうとうがっこう,koutougakkou,SMA,Kata Benda,,,Dapat disingkat menjadi 高校（こうこう）
12,1,Pendidikan,高校,こうこう,koukou,SMA (singkatan),Kata Benda,,,Singkatan dari 高等学校
13,1,Pendidikan,専門学校,せんもんがっこう,senmongakkou,Sekolah Kejuruan (Diploma),Kata Benda,,,
14,1,Pendidikan,大学,だいがく,daigaku,Universitas,Kata Benda,,,
15,1,Pendidikan,大学院,だいがくいん,daigakuin,Pascasarjana,Kata Benda,,,
16,1,Siswa,小学生,しょうがくせい,shougakusei,Siswa SD,Kata Benda,,,
17,1,Siswa,中学生,ちゅうがくせい,chuugakusei,Siswa SMP,Kata Benda,,,
18,1,Siswa,高校生,こうこうせい,koukousei,Siswa SMA,Kata Benda,,,
19,1,Siswa,大学生,だいがくせい,daigakusei,Mahasiswa (S1) / Siswa sekolah kejuruan,Kata Benda,,,
20,1,Siswa,大学院生,だいがくいんせい,daigakuinsei,Mahasiswa S2 / S3,Kata Benda,,,
21,1,Tempat / Profesi,会社,かいしゃ,kaisha,Perusahaan,Kata Benda,,,
22,1,Profesi,会社員,かいしゃいん,kaishain,Karyawan / Pegawai perusahaan,Kata Benda,,,
23,1,Profesi,○○の社員,○○のしゃいん,○○ no shain,Karyawan perusahaan ○○,Kata Benda,,,"Contoh: ABCのしゃいん, NHKのしゃいん"
24,1,Tempat,銀行,ぎんこう,ginkou,Bank,Kata Benda,,,
25,1,Profesi,銀行員,ぎんこういん,ginkouin,Pegawai bank,Kata Benda,,,
26,1,Profesi,医者,いしゃ,isha,Dokter,Kata Benda,,,
27,1,Tempat,病院,びょういん,byouin,Rumah Sakit,Kata Benda,,,
28,1,Tempat,美容院,びよういん,biyouin,Salon Kecantikan,Kata Benda,,,Jangan tertukar dengan 病院（びょういん）
29,1,Kata Tanya,誰,だれ,dare,Siapa?,Kata Tanya,,,Kasual
30,1,Kata Tanya (Hormat),どなた,どなた,donata,Siapa? (Hormat / Sopan),Kata Tanya,,,
31,1,Kata Tanya,何歳,なんさい,nansai,Usia berapa?,Kata Tanya,,,Kasual
32,1,Kata Tanya (Hormat),おいくつ,おいくつ,oikutsu,Usia berapa? (Hormat / Sopan),Kata Tanya,,,
33,1,Kata Tanya,何,なに／なん,nani / nan,Apa,Kata Tanya,,,"なに saat berdiri sendiri, なん saat diikuti oleh ですか"
34,1,Kata Tanya (Sopan),何ですか,なんですか,nan desu ka,Apa? (Sopan),Kata Tanya,,,
35,1,Ekspresi Jawaban,はい,はい,hai,Iya (konfirmasi kebenaran) [Formal],Ekspresi,,,
